"","Model","Quantity","Year","Month"
"216","JEEP WRANGLER","78","2011","01"
"217","KIA SORENTO","182","2011","01"
"218","KIA SPORTAGE","511","2011","01"
"219","LADA NIVA","185","2011","01"
"220","LAND ROVER DEFENDER","12","2011","01"
"221","LAND ROVER DISCOVERY","132","2011","01"
"222","LAND ROVER FREELANDER","97","2011","01"
"223","LAND ROVER RANGE ROVER","119","2011","01"
"224","LAND ROVER RANGE ROVER SPORT","168","2011","01"
"225","LEXUS RX","57","2011","01"
"226","MAZDA CX-7","217","2011","01"
"227","MAZDA CX-9","28","2011","01"
"228","MERCEDES G-KLASSE","137","2011","01"
"229","MERCEDES GL-KLASSE","119","2011","01"
"230","MERCEDES GLK","1353","2011","01"
"231","MERCEDES ML-KLASSE","793","2011","01"
"232","MERCEDES R-KLASSE","163","2011","01"
"233","MITSUBISHI ASX","827","2011","01"
"234","MITSUBISHI OUTLANDER","445","2011","01"
"235","MITSUBISHI PAJERO, MONTERO","112","2011","01"
"236","NISSAN MURANO","53","2011","01"
"237","NISSAN PATHFINDER","80","2011","01"
"238","NISSAN X-TRAIL","177","2011","01"
"239","OPEL ANTARA","37","2011","01"
"240","PEUGEOT 4007","39","2011","01"
"241","PORSCHE CAYENNE","508","2011","01"
"242","RENAULT KOLEOS","165","2011","01"
"243","SKODA YETI","1084","2011","01"
"244","SUBARU FORESTER","269","2011","01"
"245","SUZUKI GRAND VITARA","409","2011","01"
"246","SUZUKI JIMNY","414","2011","01"
"247","TOYOTA LANDCRUISER","247","2011","01"
"248","TOYOTA RAV 4","706","2011","01"
"249","VOLVO XC60","996","2011","01"
"250","VOLVO XC70","95","2011","01"
"251","VOLVO XC90","185","2011","01"
"252","VW TIGUAN","3671","2011","01"
"253","VW TOUAREG","507","2011","01"
"254","SONSTIGE","10","2011","01"
"255",NA,NA,"2011","01"
"256","ZUSAMMEN","26473","2011","01"
"257",NA,NA,"2011","01"
"258",NA,NA,"2011","01"
"259","SPORTS_CARS",NA,"2011","01"
"260",NA,NA,"2011","01"
"261","ASTON MARTIN DBS","11","2011","01"
"262","ASTON MARTIN DB9","7","2011","01"
"263","ASTON MARTIN RAPIDE","3","2011","01"
"264","ASTON MARTIN V8","7","2011","01"
"265","ASTON MARTIN V12","3","2011","01"
"266","AUDI R8","31","2011","01"
"267","AUDI TT","229","2011","01"
"268","BMW Z4","171","2011","01"
"269","DODGE VIPER","1","2011","01"
"270","FERRARI CALIFORNIA","10","2011","01"
"271","FERRARI F 430","4","2011","01"
"272","FERRARI 458","31","2011","01"
"273","FERRARI 599 GTB","1","2011","01"
"274","FERRARI 599 GTO","2","2011","01"
"275","GM CADILLAC XLR ROADSTER","1","2011","01"
"276","GM CORVETTE","87","2011","01"
"277","HONDA CR-Z","23","2011","01"
"278","JAGUAR XK","24","2011","01"
"279","LAMBORGHINI GALLARDO","1","2011","01"
"280","LOTUS ELISE","2","2011","01"
"281","LOTUS EVORA","1","2011","01"
"282","LOTUS EXIGE","1","2011","01"
"283","MASERATI GRANTURISMO","16","2011","01"
"284","MERCEDES E-KLASSE COUPE","856","2011","01"
"285","MERCEDES SL","58","2011","01"
"286","MERCEDES SLK","130","2011","01"
"287","MERCEDES SLS AMG","106","2011","01"
"288","MORGAN 4/4","2","2011","01"
"289","NISSAN GT-R","6","2011","01"
"290","NISSAN 370Z","13","2011","01"
"291","OPEL GT","2","2011","01"
"292","PEUGEOT RCZ","128","2011","01"
"293","PORSCHE BOXSTER, CAYMAN","137","2011","01"
"294","PORSCHE 911","412","2011","01"
"295","WIESMANN GT","1","2011","01"
"296","WIESMANN ROADSTER","3","2011","01"
"297","SONSTIGE","-","2011","01"
"298",NA,NA,"2011","01"
"299","ZUSAMMEN","2521","2011","01"
"300",NA,NA,"2011","01"
"301",NA,NA,"2011","01"
"302","VANS",NA,"2011","01"
"303","MINI_VANS",NA,"2011","01"
"304",NA,NA,"2011","01"
"305","CHEVROLET REZZO","12","2011","01"
"306","FORD FOCUS C-MAX","1857","2011","01"
"307","HYUNDAI IX 20","357","2011","01"
"308","KIA SOUL","86","2011","01"
"309","LANCIA MUSA","16","2011","01"
"310","MERCEDES B-KLASSE","2216","2011","01"
"311","NISSAN CUBE","12","2011","01"
"312","NISSAN NOTE","516","2011","01"
"313","NISSAN QASHQAI","2452","2011","01"
"314","OPEL MERIVA","2691","2011","01"
"315","PEUGEOT 3008","359","2011","01"
"316","RENAULT MODUS","253","2011","01"
"317","RENAULT SCENIC","1234","2011","01"
"318","SEAT ALTEA, TOLEDO, LEON","1335","2011","01"
"319","SKODA ROOMSTER","654","2011","01"
"320","TOYOTA URBAN CRUISER","28","2011","01"
"321","SONSTIGE","5","2011","01"
"322",NA,NA,"2011","01"
"323","ZUSAMMEN","14083","2011","01"
"324",NA,NA,"2011","01"
"325","LARGE_VANS",NA,"2011","01"
"326",NA,NA,"2011","01"
"327","CHEVROLET ORLANDO","47","2011","01"
"328","CHRYSLER VOYAGER","44","2011","01"
"329","CITROEN C8","60","2011","01"
"330","DODGE JOURNEY","25","2011","01"
"331","FIAT ULYSSE, SCUDO","72","2011","01"
"332","FORD GALAXY","688","2011","01"
"333","FORD S-MAX","1251","2011","01"
"334","KIA CARENS","25","2011","01"
"335","MAZDA 5","1266","2011","01"
"336","MERCEDES VIANO","738","2011","01"
"337","OPEL ZAFIRA","747","2011","01"
"338","PEUGEOT 807","37","2011","01"
"339","PEUGEOT 5008","313","2011","01"
"340","RENAULT ESPACE","180","2011","01"
"341","SEAT ALHAMBRA","458","2011","01"
"342","VW SHARAN","2400","2011","01"
"343","VW TOURAN","4611","2011","01"
"344","SONSTIGE","1","2011","01"
"345",NA,NA,"2011","01"
"346","ZUSAMMEN","12963","2011","01"
"347",NA,NA,"2011","01"
"348","VANS INSGESAMT","27046","2011","01"
"349",NA,NA,"2011","01"
"350",NA,NA,"2011","01"
"351","UTILITIES",NA,"2011","01"
"352",NA,NA,"2011","01"
"353","CITROEN BERLINGO","1002","2011","01"
