"","Year","Month","Class","Quantity"
"183",2015,9,"LARGE_VANS",17652
"188",2015,10,"LARGE_VANS",20778
"193",2015,11,"LARGE_VANS",25278
"198",2015,12,"LARGE_VANS",22646
"138",2016,1,"LARGE_VANS",21464
"144",2016,2,"LARGE_VANS",21120
"150",2016,3,"LARGE_VANS",24702
"156",2016,4,"LARGE_VANS",28916
"162",2016,5,"LARGE_VANS",28338
"168",2016,6,"LARGE_VANS",35336
"199",2011,1,"LUXURY_VEHICLES",4654
"205",2011,2,"LUXURY_VEHICLES",4426
"211",2011,3,"LUXURY_VEHICLES",6010
"217",2011,4,"LUXURY_VEHICLES",5020
"223",2011,5,"LUXURY_VEHICLES",6230
"229",2011,6,"LUXURY_VEHICLES",5230
"235",2011,7,"LUXURY_VEHICLES",4954
"240",2011,8,"LUXURY_VEHICLES",4414
"245",2011,9,"LUXURY_VEHICLES",4832
"250",2011,10,"LUXURY_VEHICLES",4932
"255",2011,11,"LUXURY_VEHICLES",4744
"260",2011,12,"LUXURY_VEHICLES",4014
"200",2012,1,"LUXURY_VEHICLES",4786
"206",2012,2,"LUXURY_VEHICLES",3300
"212",2012,3,"LUXURY_VEHICLES",4932
"218",2012,4,"LUXURY_VEHICLES",4352
"224",2012,5,"LUXURY_VEHICLES",4552
"230",2012,6,"LUXURY_VEHICLES",4114
"236",2012,7,"LUXURY_VEHICLES",4290
"241",2012,8,"LUXURY_VEHICLES",3654
"246",2012,9,"LUXURY_VEHICLES",4360
"251",2012,10,"LUXURY_VEHICLES",4462
"256",2012,11,"LUXURY_VEHICLES",4776
"261",2012,12,"LUXURY_VEHICLES",3598
"201",2013,1,"LUXURY_VEHICLES",3154
"207",2013,2,"LUXURY_VEHICLES",3728
"213",2013,3,"LUXURY_VEHICLES",4782
"219",2013,4,"LUXURY_VEHICLES",4720
"225",2013,5,"LUXURY_VEHICLES",4296
"231",2013,6,"LUXURY_VEHICLES",3544
"237",2013,7,"LUXURY_VEHICLES",4104
"242",2013,8,"LUXURY_VEHICLES",1834
"247",2013,9,"LUXURY_VEHICLES",4594
"252",2013,10,"LUXURY_VEHICLES",5110
"257",2013,11,"LUXURY_VEHICLES",4744
"262",2013,12,"LUXURY_VEHICLES",3686
"202",2014,1,"LUXURY_VEHICLES",4314
"208",2014,2,"LUXURY_VEHICLES",4290
"214",2014,3,"LUXURY_VEHICLES",6424
"220",2014,4,"LUXURY_VEHICLES",5630
"226",2014,5,"LUXURY_VEHICLES",5752
"232",2014,6,"LUXURY_VEHICLES",5642
"238",2014,7,"LUXURY_VEHICLES",5250
"243",2014,8,"LUXURY_VEHICLES",3306
"248",2014,9,"LUXURY_VEHICLES",4582
"253",2014,10,"LUXURY_VEHICLES",5188
"258",2014,11,"LUXURY_VEHICLES",4918
"263",2014,12,"LUXURY_VEHICLES",4426
"203",2015,1,"LUXURY_VEHICLES",4436
"209",2015,2,"LUXURY_VEHICLES",4868
"215",2015,3,"LUXURY_VEHICLES",6190
"221",2015,4,"LUXURY_VEHICLES",6454
"227",2015,5,"LUXURY_VEHICLES",5024
"233",2015,6,"LUXURY_VEHICLES",5544
"239",2015,7,"LUXURY_VEHICLES",5836
"244",2015,8,"LUXURY_VEHICLES",5052
"249",2015,9,"LUXURY_VEHICLES",4074
"254",2015,10,"LUXURY_VEHICLES",5528
