"","Model","Quantity","Year","Month","Class"
"15018","LAND ROVER RANGE ROVER",152,2014,4,"OFFROAD_VEHICLE"
"15019","LAND ROVER RANGE ROVER EVO.",492,2014,4,"OFFROAD_VEHICLE"
"15020","LAND ROVER RANGE ROVER SPORT",372,2014,4,"OFFROAD_VEHICLE"
"15021","MERCEDES G-KLASSE",122,2014,4,"OFFROAD_VEHICLE"
"15022","MERCEDES GL-KLASSE",183,2014,4,"OFFROAD_VEHICLE"
"15023","MERCEDES ML-KLASSE",761,2014,4,"OFFROAD_VEHICLE"
"15024","MITSUBISHI PAJERO",116,2014,4,"OFFROAD_VEHICLE"
"15025","NISSAN PATHFINDER",37,2014,4,"OFFROAD_VEHICLE"
"15026","NISSAN X-TRAIL",70,2014,4,"OFFROAD_VEHICLE"
"15027","PORSCHE CAYENNE",577,2014,4,"OFFROAD_VEHICLE"
"15028","PORSCHE MACAN",712,2014,4,"OFFROAD_VEHICLE"
"15029","SSANGYONG REXTON",22,2014,4,"OFFROAD_VEHICLE"
"15030","SUBARU FORESTER",207,2014,4,"OFFROAD_VEHICLE"
"15031","SUZUKI GRAND VITARA",266,2014,4,"OFFROAD_VEHICLE"
"15032","SUZUKI JIMNY",268,2014,4,"OFFROAD_VEHICLE"
"15033","TOYOTA LANDCRUISER",119,2014,4,"OFFROAD_VEHICLE"
"15034","VOLVO XC60",900,2014,4,"OFFROAD_VEHICLE"
"15035","VOLVO XC90",91,2014,4,"OFFROAD_VEHICLE"
"15036","VW TIGUAN",6869,2014,4,"OFFROAD_VEHICLE"
"15037","VW TOUAREG",728,2014,4,"OFFROAD_VEHICLE"
"15038","OTHER_MODEL",4,2014,4,"OFFROAD_VEHICLE"
"15039","ZUSAMMEN",21162,2014,4,"OFFROAD_VEHICLE"
"15041","ALFA 8C COMPETIZIONE",1,2014,4,"SPORTS_CARS"
"15042","ASTON MARTIN DB9",5,2014,4,"SPORTS_CARS"
"15043","ASTON MARTIN RAPIDE",1,2014,4,"SPORTS_CARS"
"15044","ASTON MARTIN VANQUISH",11,2014,4,"SPORTS_CARS"
"15045","ASTON MARTIN V8",12,2014,4,"SPORTS_CARS"
"15046","ASTON MARTIN V12",4,2014,4,"SPORTS_CARS"
"15047","AUDI R8",40,2014,4,"SPORTS_CARS"
"15048","AUDI TT",818,2014,4,"SPORTS_CARS"
"15049","BMW I8",7,2014,4,"SPORTS_CARS"
"15050","BMW Z4",297,2014,4,"SPORTS_CARS"
"15051","CHEVROLET CAMARO",56,2014,4,"SPORTS_CARS"
"15052","CHEVROLET CORVETTE",8,2014,4,"SPORTS_CARS"
"15053","FERRARI CALIFORNIA",5,2014,4,"SPORTS_CARS"
"15054","FERRARI F 12",30,2014,4,"SPORTS_CARS"
"15055","FERRARI FF",6,2014,4,"SPORTS_CARS"
"15056","FERRARI 458",71,2014,4,"SPORTS_CARS"
"15057","FERRARI 612 SCAGLIETTI",0,2014,4,"SPORTS_CARS"
"15058","HONDA CR-Z",4,2014,4,"SPORTS_CARS"
"15059","HYUNDAI VELOSTER",22,2014,4,"SPORTS_CARS"
"15060","JAGUAR F-TYPE",160,2014,4,"SPORTS_CARS"
"15061","JAGUAR XK",30,2014,4,"SPORTS_CARS"
"15062","LAMBORGHINI AVENTADOR",13,2014,4,"SPORTS_CARS"
"15063","LAMBORGHINI GALLARDO",7,2014,4,"SPORTS_CARS"
"15064","LAMBORGHINI MURCIELAGO",0,2014,4,"SPORTS_CARS"
"15065","LOTUS ELISE",3,2014,4,"SPORTS_CARS"
"15066","LOTUS EVORA",0,2014,4,"SPORTS_CARS"
"15067","LOTUS EXIGE",5,2014,4,"SPORTS_CARS"
"15068","MASERATI GHIBLI",66,2014,4,"SPORTS_CARS"
"15069","MASERATI GRANTURISMO",25,2014,4,"SPORTS_CARS"
"15070","MERCEDES E-KLASSE COUPE",978,2014,4,"SPORTS_CARS"
"15071","MERCEDES SL",141,2014,4,"SPORTS_CARS"
"15072","MERCEDES SLK",613,2014,4,"SPORTS_CARS"
"15073","MERCEDES SLS AMG",45,2014,4,"SPORTS_CARS"
"15074","MORGAN 4/4",15,2014,4,"SPORTS_CARS"
"15075","NISSAN GT-R",20,2014,4,"SPORTS_CARS"
"15076","NISSAN 370Z",44,2014,4,"SPORTS_CARS"
"15077","PEUGEOT RCZ",97,2014,4,"SPORTS_CARS"
"15078","PORSCHE BOXSTER",350,2014,4,"SPORTS_CARS"
"15079","PORSCHE CAYMAN",109,2014,4,"SPORTS_CARS"
"15080","PORSCHE 911",786,2014,4,"SPORTS_CARS"
"15081","SUBARU BRZ",12,2014,4,"SPORTS_CARS"
"15082","TESLA ROADSTER",1,2014,4,"SPORTS_CARS"
"15083","TOYOTA GT 86",49,2014,4,"SPORTS_CARS"
"15084","WIESMANN GT",0,2014,4,"SPORTS_CARS"
"15085","WIESMANN ROADSTER",1,2014,4,"SPORTS_CARS"
"15086","OTHER_MODEL",0,2014,4,"SPORTS_CARS"
"15087","ZUSAMMEN",4968,2014,4,"SPORTS_CARS"
"15089","DACIA LODGY",316,2014,4,"MINI_VANS"
"15090","FORD B-MAX",1145,2014,4,"MINI_VANS"
"15091","FORD C-MAX",1253,2014,4,"MINI_VANS"
"15092","HYUNDAI IX 20",825,2014,4,"MINI_VANS"
"15093","KIA SOUL",418,2014,4,"MINI_VANS"
"15094","KIA VENGA",485,2014,4,"MINI_VANS"
"15095","MERCEDES B-KLASSE",3788,2014,4,"MINI_VANS"
"15096","NISSAN NOTE",747,2014,4,"MINI_VANS"
"15097","OPEL MERIVA",1848,2014,4,"MINI_VANS"
"15098","PEUGEOT 3008",276,2014,4,"MINI_VANS"
"15099","RENAULT SCENIC",1490,2014,4,"MINI_VANS"
"15100","SEAT ALTEA",298,2014,4,"MINI_VANS"
"15101","SKODA ROOMSTER",1234,2014,4,"MINI_VANS"
"15102","SUBARU TREZIA",2,2014,4,"MINI_VANS"
"15103","TOYOTA URBAN CRUISER",6,2014,4,"MINI_VANS"
"15104","TOYOTA VERSO-S",168,2014,4,"MINI_VANS"
"15105","OTHER_MODEL",0,2014,4,"MINI_VANS"
"15106","ZUSAMMEN",14299,2014,4,"MINI_VANS"
"15108","CHEVROLET ORLANDO",58,2014,4,"LARGE_VANS"
"15109","CITROEN C8",17,2014,4,"LARGE_VANS"
"15110","FIAT FREEMONT",207,2014,4,"LARGE_VANS"
"15111","FORD GALAXY",657,2014,4,"LARGE_VANS"
"15112","FORD GRAND C-MAX",399,2014,4,"LARGE_VANS"
"15113","FORD S-MAX",884,2014,4,"LARGE_VANS"
"15114","KIA CARENS",278,2014,4,"LARGE_VANS"
"15115","LANCIA VOYAGER",48,2014,4,"LARGE_VANS"
"15116","MAZDA 5",256,2014,4,"LARGE_VANS"
"15117","MERCEDES V-KLASSE",44,2014,4,"LARGE_VANS"
"15118","MERCEDES VIANO",705,2014,4,"LARGE_VANS"
"15119","OPEL ZAFIRA",1607,2014,4,"LARGE_VANS"
"15120","PEUGEOT 807",18,2014,4,"LARGE_VANS"
"15121","PEUGEOT 5008",399,2014,4,"LARGE_VANS"
"15122","RENAULT ESPACE",103,2014,4,"LARGE_VANS"
"15123","SEAT ALHAMBRA",706,2014,4,"LARGE_VANS"
"15124","SSANGYONG RODIUS",7,2014,4,"LARGE_VANS"
"15125","TOYOTA PRIUS PLUS",57,2014,4,"LARGE_VANS"
"15126","TOYOTA VERSO",612,2014,4,"LARGE_VANS"
"15127","VW SHARAN",1726,2014,4,"LARGE_VANS"
"15128","VW TOURAN",5179,2014,4,"LARGE_VANS"
"15129","OTHER_MODEL",0,2014,4,"LARGE_VANS"
"15130","ZUSAMMEN",13967,2014,4,"LARGE_VANS"
"15132","CITROEN BERLINGO",782,2014,4,"UTILITIES"
"15133","CITROEN JUMPER",10,2014,4,"UTILITIES"
"15134","CITROEN JUMPY",133,2014,4,"UTILITIES"
"15135","CITROEN NEMO",1,2014,4,"UTILITIES"
"15136","DACIA DOKKER",229,2014,4,"UTILITIES"
"15137","FIAT DOBLO",92,2014,4,"UTILITIES"
"15138","FIAT DUCATO",104,2014,4,"UTILITIES"
"15139","FIAT FIORINO",62,2014,4,"UTILITIES"
"15140","FIAT SCUDO",60,2014,4,"UTILITIES"
"15141","FORD TRANSIT CONNECT",151,2014,4,"UTILITIES"
"15142","FORD TRANSIT, TOURNEO",954,2014,4,"UTILITIES"
"15143","HYUNDAI H-1 STAREX",39,2014,4,"UTILITIES"
"15144","MERCEDES CITAN",229,2014,4,"UTILITIES"
"15145","MERCEDES SPRINTER",270,2014,4,"UTILITIES"
"15146","MERCEDES VITO",513,2014,4,"UTILITIES"
"15147","NISSAN NV200",139,2014,4,"UTILITIES"
"15148","NISSAN NV400",4,2014,4,"UTILITIES"
"15149","NISSAN PRIMASTAR",31,2014,4,"UTILITIES"
"15150","OPEL COMBO",55,2014,4,"UTILITIES"
"15151","OPEL MOVANO",15,2014,4,"UTILITIES"
"15152","OPEL VIVARO",273,2014,4,"UTILITIES"
"15153","PEUGEOT BIPPER",12,2014,4,"UTILITIES"
"15154","PEUGEOT BOXER",23,2014,4,"UTILITIES"
"15155","PEUGEOT EXPERT",95,2014,4,"UTILITIES"
"15156","PEUGEOT PARTNER",202,2014,4,"UTILITIES"
"15157","RENAULT KANGOO",480,2014,4,"UTILITIES"
"15158","RENAULT MASTER",15,2014,4,"UTILITIES"
"15159","RENAULT TRAFIC",212,2014,4,"UTILITIES"
"15160","VW CADDY",2792,2014,4,"UTILITIES"
"15161","VW CRAFTER",50,2014,4,"UTILITIES"
"15162","VW TRANSPORTER",2871,2014,4,"UTILITIES"
"15163","OTHER_MODEL",0,2014,4,"UTILITIES"
"15164","ZUSAMMEN",10898,2014,4,"UTILITIES"
"15166","CITROEN JUMPER",253,2014,4,"RVs"
"15167","FIAT DUCATO",3840,2014,4,"RVs"
"15168","FORD TRANSIT, TOURNEO",258,2014,4,"RVs"
"15169","IVECO DAILY",53,2014,4,"RVs"
"15170","IVECO EUROCARGO",2,2014,4,"RVs"
"15171","MERCEDES SPRINTER",86,2014,4,"RVs"
"15172","MERCEDES VIANO",108,2014,4,"RVs"
"15173","PEUGEOT BOXER",5,2014,4,"RVs"
"15174","RENAULT MASTER",5,2014,4,"RVs"
"15175","VW TRANSPORTER",218,2014,4,"RVs"
"15176","OTHER_MODEL",152,2014,4,"RVs"
"15177","ZUSAMMEN",4980,2014,4,"RVs"
"15179","CHEVROLET SPARK",31,2014,5,"MINIS"
"15180","CITROEN C1",238,2014,5,"MINIS"
"15181","FIAT PANDA",712,2014,5,"MINIS"
"15182","FIAT 500",2789,2014,5,"MINIS"
"15183","FORD KA",951,2014,5,"MINIS"
"15184","HYUNDAI I 10",1438,2014,5,"MINIS"
"15185","KIA PICANTO",519,2014,5,"MINIS"
"15186","LANCIA YPSILON",51,2014,5,"MINIS"
"15187","MITSUBISHI I-MIEV",21,2014,5,"MINIS"
"15188","OPEL ADAM",2070,2014,5,"MINIS"
"15189","OPEL AGILA",131,2014,5,"MINIS"
"15190","PEUGEOT 107",115,2014,5,"MINIS"
"15191","RENAULT TWINGO",1590,2014,5,"MINIS"
"15192","SEAT MII",875,2014,5,"MINIS"
"15193","SKODA CITIGO",1301,2014,5,"MINIS"
"15194","SMART FORTWO",1990,2014,5,"MINIS"
"15195","SUZUKI ALTO",60,2014,5,"MINIS"
"15196","SUZUKI SPLASH",207,2014,5,"MINIS"
"15197","TOYOTA AYGO",636,2014,5,"MINIS"
"15198","TOYOTA IQ",65,2014,5,"MINIS"
"15199","VW UP",4113,2014,5,"MINIS"
"15200","OTHER_MODEL",10,2014,5,"MINIS"
"15201","ZUSAMMEN",19913,2014,5,"MINIS"
"15203","ALFA MITO",75,2014,5,"SMALL_CARS"
"15204","AUDI A1, S1",1951,2014,5,"SMALL_CARS"
"15205","BMW I3",255,2014,5,"SMALL_CARS"
"15206","CHEVROLET AVEO",11,2014,5,"SMALL_CARS"
"15207","CITROEN C3",1080,2014,5,"SMALL_CARS"
"15208","CITROEN DS3",579,2014,5,"SMALL_CARS"
"15209","FIAT PUNTO",486,2014,5,"SMALL_CARS"
"15210","FORD FIESTA",4029,2014,5,"SMALL_CARS"
"15211","HONDA JAZZ",591,2014,5,"SMALL_CARS"
"15212","HYUNDAI I 20",1452,2014,5,"SMALL_CARS"
"15213","KIA RIO",522,2014,5,"SMALL_CARS"
"15214","MAZDA 2",663,2014,5,"SMALL_CARS"
"15215","MINI",2585,2014,5,"SMALL_CARS"
"15216","MITSUBISHI MIRAGE, SPACE STAR",385,2014,5,"SMALL_CARS"
"15217","NISSAN JUKE",619,2014,5,"SMALL_CARS"
"15218","NISSAN MICRA",989,2014,5,"SMALL_CARS"
"15219","OPEL CORSA",4538,2014,5,"SMALL_CARS"
"15220","PEUGEOT 207",253,2014,5,"SMALL_CARS"
"15221","PEUGEOT 208",1155,2014,5,"SMALL_CARS"
"15222","RENAULT CLIO",2236,2014,5,"SMALL_CARS"
"15223","RENAULT WIND",1,2014,5,"SMALL_CARS"
"15224","RENAULT ZOE",106,2014,5,"SMALL_CARS"
"15225","SEAT IBIZA",2496,2014,5,"SMALL_CARS"
"15226","SKODA FABIA",3435,2014,5,"SMALL_CARS"
"15227","SUZUKI SWIFT",675,2014,5,"SMALL_CARS"
"15228","SUZUKI SX4 CLASSIC",159,2014,5,"SMALL_CARS"
"15229","TOYOTA YARIS",1880,2014,5,"SMALL_CARS"
"15230","VW POLO",4022,2014,5,"SMALL_CARS"
"15231","OTHER_MODEL",0,2014,5,"SMALL_CARS"
"15232","ZUSAMMEN",37228,2014,5,"SMALL_CARS"
"15234","ALFA GIULIETTA",213,2014,5,"COMPACT_CARS"
"15235","AUDI A3, S3, RS3",6161,2014,5,"COMPACT_CARS"
"15236","BMW 1ER",3891,2014,5,"COMPACT_CARS"
"15237","BMW 2ER",359,2014,5,"COMPACT_CARS"
"15238","CHEVROLET CRUZE",48,2014,5,"COMPACT_CARS"
"15239","CITROEN C4",1305,2014,5,"COMPACT_CARS"
"15240","CITROEN DS4",282,2014,5,"COMPACT_CARS"
"15241","DACIA LOGAN",775,2014,5,"COMPACT_CARS"
"15242","DACIA SANDERO",1793,2014,5,"COMPACT_CARS"
"15243","FIAT BRAVO",26,2014,5,"COMPACT_CARS"
"15244","FORD FOCUS",5110,2014,5,"COMPACT_CARS"
"15245","HONDA CIVIC",481,2014,5,"COMPACT_CARS"
"15246","HYUNDAI I 30",2343,2014,5,"COMPACT_CARS"
"15247","KIA CEED",1202,2014,5,"COMPACT_CARS"
"15248","LADA GRANTA",2,2014,5,"COMPACT_CARS"
"15249","LANCIA DELTA",18,2014,5,"COMPACT_CARS"
"15250","LEXUS CT",7,2014,5,"COMPACT_CARS"
"15251","MAZDA MX-5",251,2014,5,"COMPACT_CARS"
"15252","MAZDA 3",1256,2014,5,"COMPACT_CARS"
"15253","MERCEDES A-KLASSE",2722,2014,5,"COMPACT_CARS"
"15254","MITSUBISHI LANCER",71,2014,5,"COMPACT_CARS"
"15255","NISSAN LEAF",28,2014,5,"COMPACT_CARS"
"15256","OPEL AMPERA",5,2014,5,"COMPACT_CARS"
"15257","OPEL ASTRA",5219,2014,5,"COMPACT_CARS"
"15258","PEUGEOT 308",1661,2014,5,"COMPACT_CARS"
"15259","RENAULT MEGANE",1557,2014,5,"COMPACT_CARS"
"15260","SEAT LEON",4328,2014,5,"COMPACT_CARS"
"15261","SEAT TOLEDO",154,2014,5,"COMPACT_CARS"
"15262","SKODA OCTAVIA",4818,2014,5,"COMPACT_CARS"
"15263","SKODA RAPID",1514,2014,5,"COMPACT_CARS"
"15264","SUBARU IMPREZA",14,2014,5,"COMPACT_CARS"
"15265","SUBARU WRX",28,2014,5,"COMPACT_CARS"
"15266","TOYOTA AURIS",1374,2014,5,"COMPACT_CARS"
"15267","TOYOTA COROLLA",104,2014,5,"COMPACT_CARS"
"15268","TOYOTA PRIUS",55,2014,5,"COMPACT_CARS"
"15269","VOLVO C30",15,2014,5,"COMPACT_CARS"
"15270","VW BEETLE",1932,2014,5,"COMPACT_CARS"
"15271","VW EOS",504,2014,5,"COMPACT_CARS"
"15272","VW GOLF",20112,2014,5,"COMPACT_CARS"
"15273","VW JETTA",114,2014,5,"COMPACT_CARS"
"15274","OTHER_MODEL",4,2014,5,"COMPACT_CARS"
"15275","ZUSAMMEN",71856,2014,5,"COMPACT_CARS"
"15277","ALPINA B3",13,2014,5,"MIDSIZE_CARS"
"15278","ALPINA D3",27,2014,5,"MIDSIZE_CARS"
"15279","AUDI A4, S4, RS4",4813,2014,5,"MIDSIZE_CARS"
"15280","AUDI A5, S5, RS5",1843,2014,5,"MIDSIZE_CARS"
"15281","BMW 3ER",5343,2014,5,"MIDSIZE_CARS"
"15282","BMW 4ER",1477,2014,5,"MIDSIZE_CARS"
"15283","CHEVROLET MALIBU",0,2014,5,"MIDSIZE_CARS"
"15284","CITROEN C5",230,2014,5,"MIDSIZE_CARS"
"15285","CITROEN DS5",94,2014,5,"MIDSIZE_CARS"
"15286","FORD MONDEO",1073,2014,5,"MIDSIZE_CARS"
"15287","HONDA ACCORD",99,2014,5,"MIDSIZE_CARS"
"15288","HYUNDAI COUPE",10,2014,5,"MIDSIZE_CARS"
"15289","HYUNDAI I 40",592,2014,5,"MIDSIZE_CARS"
"15290","INFINITI Q50",160,2014,5,"MIDSIZE_CARS"
"15291","KIA OPTIMA",40,2014,5,"MIDSIZE_CARS"
"15292","LEXUS IS",34,2014,5,"MIDSIZE_CARS"
"15293","MAZDA 6",660,2014,5,"MIDSIZE_CARS"
"15294","MERCEDES C-KLASSE",4016,2014,5,"MIDSIZE_CARS"
"15295","MERCEDES CLA-KLASSE",980,2014,5,"MIDSIZE_CARS"
"15296","OPEL CASCADA",401,2014,5,"MIDSIZE_CARS"
"15297","OPEL INSIGNIA",2385,2014,5,"MIDSIZE_CARS"
"15298","PEUGEOT 508",442,2014,5,"MIDSIZE_CARS"
"15299","RENAULT LAGUNA",103,2014,5,"MIDSIZE_CARS"
"15300","SEAT EXEO",3,2014,5,"MIDSIZE_CARS"
"15301","SKODA SUPERB",1425,2014,5,"MIDSIZE_CARS"
"15302","SUBARU LEGACY",54,2014,5,"MIDSIZE_CARS"
"15303","SUZUKI KIZASHI",4,2014,5,"MIDSIZE_CARS"
"15304","TOYOTA AVENSIS",440,2014,5,"MIDSIZE_CARS"
"15305","VOLVO 40",943,2014,5,"MIDSIZE_CARS"
"15306","VOLVO 60",596,2014,5,"MIDSIZE_CARS"
"15307","VW PASSAT",6735,2014,5,"MIDSIZE_CARS"
"15308","VW SCIROCCO",262,2014,5,"MIDSIZE_CARS"
"15309","OTHER_MODEL",10,2014,5,"MIDSIZE_CARS"
"15310","ZUSAMMEN",35307,2014,5,"MIDSIZE_CARS"
"15312","ALPINA B5",7,2014,5,"EXECUTIVE_CARS"
"15313","ALPINA D5 BITURBO",12,2014,5,"EXECUTIVE_CARS"
"15314","AUDI A6, S6, RS6",3744,2014,5,"EXECUTIVE_CARS"
"15315","BMW 5ER",3840,2014,5,"EXECUTIVE_CARS"
"15316","JAGUAR XF",201,2014,5,"EXECUTIVE_CARS"
"15317","LANCIA THEMA",0,2014,5,"EXECUTIVE_CARS"
"15318","LEXUS GS",9,2014,5,"EXECUTIVE_CARS"
"15319","MERCEDES E-KLASSE",3844,2014,5,"EXECUTIVE_CARS"
"15320","VOLVO 70",287,2014,5,"EXECUTIVE_CARS"
"15321","VOLVO 80",45,2014,5,"EXECUTIVE_CARS"
"15322","OTHER_MODEL",10,2014,5,"EXECUTIVE_CARS"
"15323","ZUSAMMEN",11999,2014,5,"EXECUTIVE_CARS"
"15325","ALPINA B7 BITURBO",0,2014,5,"LUXURY_VEHICLES"
"15326","AUDI A7, S7, RS7",355,2014,5,"LUXURY_VEHICLES"
"15327","AUDI A8, S8",274,2014,5,"LUXURY_VEHICLES"
"15328","BENTLEY CONTINENTAL",33,2014,5,"LUXURY_VEHICLES"
"15329","BENTLEY MULSANNE",3,2014,5,"LUXURY_VEHICLES"
"15330","BMW 6ER",252,2014,5,"LUXURY_VEHICLES"
"15331","BMW 7ER",171,2014,5,"LUXURY_VEHICLES"
"15332","CADILLAC CTS",3,2014,5,"LUXURY_VEHICLES"
"15333","JAGUAR XJ",14,2014,5,"LUXURY_VEHICLES"
"15334","LEXUS LS",2,2014,5,"LUXURY_VEHICLES"
"15335","MASERATI QUATTROPORTE",19,2014,5,"LUXURY_VEHICLES"
"15336","MAYBACH",0,2014,5,"LUXURY_VEHICLES"
"15337","MERCEDES CL-KLASSE",4,2014,5,"LUXURY_VEHICLES"
"15338","MERCEDES CLS",395,2014,5,"LUXURY_VEHICLES"
"15339","MERCEDES S-KLASSE",905,2014,5,"LUXURY_VEHICLES"
"15340","PORSCHE PANAMERA",211,2014,5,"LUXURY_VEHICLES"
"15341","ROLLS-ROYCE GHOST",2,2014,5,"LUXURY_VEHICLES"
"15342","ROLLS-ROYCE PHANTOM",0,2014,5,"LUXURY_VEHICLES"
"15343","ROLLS-ROYCE WRAITH",3,2014,5,"LUXURY_VEHICLES"
"15344","TESLA MODEL S",57,2014,5,"LUXURY_VEHICLES"
"15345","VW PHAETON",173,2014,5,"LUXURY_VEHICLES"
"15346","ZUSAMMEN",2876,2014,5,"LUXURY_VEHICLES"
"15348","ALPINA XD3 BITURBO",1,2014,5,"SUVs"
"15349","BMW X1",1590,2014,5,"SUVs"
"15350","BMW X4",194,2014,5,"SUVs"
"15351","CHEVROLET CAPTIVA",35,2014,5,"SUVs"
"15352","CHEVROLET TRAX",84,2014,5,"SUVs"
"15353","CITROEN C4 CACTUS",5,2014,5,"SUVs"
"15354","DACIA DUSTER",1758,2014,5,"SUVs"
"15355","FIAT SEDICI",59,2014,5,"SUVs"
"15356","FORD ECOSPORT",257,2014,5,"SUVs"
"15357","FORD KUGA",2418,2014,5,"SUVs"
"15358","HONDA CR-V",897,2014,5,"SUVs"
"15359","HYUNDAI IX 35",1697,2014,5,"SUVs"
"15360","INFINITI EX",9,2014,5,"SUVs"
"15361","INFINITI FX",39,2014,5,"SUVs"
"15362","KIA SPORTAGE",936,2014,5,"SUVs"
"15363","LADA NIVA",76,2014,5,"SUVs"
"15364","LEXUS RX",25,2014,5,"SUVs"
"15365","MAZDA CX-5",1394,2014,5,"SUVs"
"15366","MERCEDES GLA",1486,2014,5,"SUVs"
"15367","MERCEDES GLK",1687,2014,5,"SUVs"
"15368","MITSUBISHI ASX",781,2014,5,"SUVs"
"15369","MITSUBISHI OUTLANDER",589,2014,5,"SUVs"
"15370","NISSAN MURANO",8,2014,5,"SUVs"
"15371","NISSAN QASHQAI",1907,2014,5,"SUVs"
"15372","OPEL ANTARA",61,2014,5,"SUVs"
"15373","OPEL MOKKA",2443,2014,5,"SUVs"
"15374","PEUGEOT 2008",917,2014,5,"SUVs"
"15375","PEUGEOT 4008",27,2014,5,"SUVs"
"15376","RENAULT CAPTUR",1173,2014,5,"SUVs"
"15377","RENAULT KOLEOS",92,2014,5,"SUVs"
"15378","SKODA YETI",2265,2014,5,"SUVs"
"15379","SSANGYONG KORANDO",42,2014,5,"SUVs"
"15380","SUBARU XV",124,2014,5,"SUVs"
"15381","SUZUKI SX4",434,2014,5,"SUVs"
"15382","TOYOTA RAV 4",500,2014,5,"SUVs"
"15383","VOLVO XC70",133,2014,5,"SUVs"
"15384","OTHER_MODEL",1,2014,5,"SUVs"
"15385","ZUSAMMEN",26144,2014,5,"SUVs"
"15387","AUDI Q3",2105,2014,5,"OFFROAD_VEHICLE"
"15388","AUDI Q5",2015,2014,5,"OFFROAD_VEHICLE"
"15389","AUDI Q7",326,2014,5,"OFFROAD_VEHICLE"
"15390","BMW X3",1263,2014,5,"OFFROAD_VEHICLE"
"15391","BMW X5",1269,2014,5,"OFFROAD_VEHICLE"
"15392","BMW X6",39,2014,5,"OFFROAD_VEHICLE"
"15393","HYUNDAI SANTA FE",219,2014,5,"OFFROAD_VEHICLE"
"15394","JEEP CHEROKEE",127,2014,5,"OFFROAD_VEHICLE"
"15395","JEEP COMPASS",68,2014,5,"OFFROAD_VEHICLE"
"15396","JEEP GRAND CHEROKEE",410,2014,5,"OFFROAD_VEHICLE"
"15397","JEEP WRANGLER",152,2014,5,"OFFROAD_VEHICLE"
"15398","KIA SORENTO",172,2014,5,"OFFROAD_VEHICLE"
"15399","LAND ROVER DISCOVERY",63,2014,5,"OFFROAD_VEHICLE"
"15400","LAND ROVER FREELANDER",135,2014,5,"OFFROAD_VEHICLE"
"15401","LAND ROVER RANGE ROVER",245,2014,5,"OFFROAD_VEHICLE"
"15402","LAND ROVER RANGE ROVER EVO.",552,2014,5,"OFFROAD_VEHICLE"
"15403","LAND ROVER RANGE ROVER SPORT",386,2014,5,"OFFROAD_VEHICLE"
"15404","MERCEDES G-KLASSE",104,2014,5,"OFFROAD_VEHICLE"
"15405","MERCEDES GL-KLASSE",230,2014,5,"OFFROAD_VEHICLE"
"15406","MERCEDES ML-KLASSE",1017,2014,5,"OFFROAD_VEHICLE"
"15407","MITSUBISHI PAJERO",137,2014,5,"OFFROAD_VEHICLE"
"15408","NISSAN PATHFINDER",40,2014,5,"OFFROAD_VEHICLE"
"15409","NISSAN X-TRAIL",71,2014,5,"OFFROAD_VEHICLE"
"15410","PORSCHE CAYENNE",566,2014,5,"OFFROAD_VEHICLE"
"15411","PORSCHE MACAN",614,2014,5,"OFFROAD_VEHICLE"
"15412","SSANGYONG REXTON",36,2014,5,"OFFROAD_VEHICLE"
"15413","SUBARU FORESTER",193,2014,5,"OFFROAD_VEHICLE"
"15414","SUZUKI GRAND VITARA",229,2014,5,"OFFROAD_VEHICLE"
"15415","SUZUKI JIMNY",229,2014,5,"OFFROAD_VEHICLE"
"15416","TOYOTA LANDCRUISER",110,2014,5,"OFFROAD_VEHICLE"
"15417","VOLVO XC60",846,2014,5,"OFFROAD_VEHICLE"
"15418","VOLVO XC90",191,2014,5,"OFFROAD_VEHICLE"
"15419","VW TIGUAN",5947,2014,5,"OFFROAD_VEHICLE"
"15420","VW TOUAREG",854,2014,5,"OFFROAD_VEHICLE"
"15421","OTHER_MODEL",4,2014,5,"OFFROAD_VEHICLE"
"15422","ZUSAMMEN",20964,2014,5,"OFFROAD_VEHICLE"
"15424","ALFA 8C COMPETIZIONE",0,2014,5,"SPORTS_CARS"
"15425","ASTON MARTIN DB9",5,2014,5,"SPORTS_CARS"
"15426","ASTON MARTIN RAPIDE",5,2014,5,"SPORTS_CARS"
"15427","ASTON MARTIN VANQUISH",4,2014,5,"SPORTS_CARS"
"15428","ASTON MARTIN V8",10,2014,5,"SPORTS_CARS"
"15429","ASTON MARTIN V12",4,2014,5,"SPORTS_CARS"
"15430","AUDI R8",51,2014,5,"SPORTS_CARS"
"15431","AUDI TT",380,2014,5,"SPORTS_CARS"
"15432","BMW I8",25,2014,5,"SPORTS_CARS"
"15433","BMW Z4",210,2014,5,"SPORTS_CARS"
"15434","CHEVROLET CAMARO",22,2014,5,"SPORTS_CARS"
"15435","CHEVROLET CORVETTE",68,2014,5,"SPORTS_CARS"
"15436","FERRARI CALIFORNIA",4,2014,5,"SPORTS_CARS"
"15437","FERRARI F 12",12,2014,5,"SPORTS_CARS"
"15438","FERRARI FF",4,2014,5,"SPORTS_CARS"
"15439","FERRARI 458",45,2014,5,"SPORTS_CARS"
"15440","FERRARI 612 SCAGLIETTI",0,2014,5,"SPORTS_CARS"
"15441","HONDA CR-Z",1,2014,5,"SPORTS_CARS"
"15442","HYUNDAI VELOSTER",18,2014,5,"SPORTS_CARS"
"15443","JAGUAR F-TYPE",161,2014,5,"SPORTS_CARS"
"15444","JAGUAR XK",25,2014,5,"SPORTS_CARS"
